idJogo,data,golosMarcadosVisitante,golosMarcadosVisitada,resultado,nomeEquipaVisitada,nomeEquipaVisitante,arbitro,numeroJornada,fasePlayOff
1,09/10,1,3,Quinta dos Lombos,Quinta dos Lombos,SC Braga/AAUM,223,1,NULL
2,09/10,0,2,CR Candoso/Natcal,CR Candoso/Natcal,Modicus Cartest,223,1,NULL
3,09/10,2,1,AD Fundão/Hotel Alambique,FC Azeméis by Noxae,AD Fundão/Hotel Alambique,209,1,NULL
4,10/10,3,0,Eléctrico,Viseu 2001/Palácio do Gelo,Eléctrico,210,1,NULL
5,10/10,0,4,Sporting,Sporting,Nun´Álvares,211,1,NULL
6,10/10,0,4,Benfica,Benfica,Leões Porto Salvo,210,1,NULL
7,10/10,3,5,Torreense,Torreense,Portimonense,219,1,NULL
8,15/10,1,5,SC Braga/AAUM,SC Braga/AAUM,Viseu 2001/Palácio do Gelo,220,2,NULL
9,16/10,1,3,Eléctrico,Eléctrico,Benfica,214,2,NULL
10,16/10,3,5,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Torreense,223,2,NULL
11,16/10,2,5,Portimonense,Portimonense,CR Candoso/Natcal,212,2,NULL
12,16/10,2,0,Quinta dos Lombos,Nun´Álvares,Quinta dos Lombos,220,2,NULL
13,16/10,3,0,Sporting,Modicus Cartest,Sporting,224,2,NULL
14,16/10,2,1,FC Azeméis by Noxae,Leões Porto Salvo,FC Azeméis by Noxae,209,2,NULL
15,20/10,1,4,Sporting,Sporting,Portimonense,211,3,NULL
16,20/10,4,5,Quinta dos Lombos,Quinta dos Lombos,Viseu 2001/Palácio do Gelo,209,3,NULL
17,20/10,1,3,Benfica,Benfica,SC Braga/AAUM,213,3,NULL
18,20/10,1,2,FC Azeméis by Noxae,FC Azeméis by Noxae,Eléctrico,223,3,NULL
19,20/10,3,2,AD Fundão/Hotel Alambique,CR Candoso/Natcal,AD Fundão/Hotel Alambique,214,3,NULL
20,20/10,0,1,Torreense,Torreense,Leões Porto Salvo,215,3,NULL
21,20/10,3,1,Modicus Cartest,Nun´Álvares,Modicus Cartest,221,3,NULL
22,23/10,2,4,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Sporting,215,4,NULL
23,23/10,4,2,FC Azeméis by Noxae,SC Braga/AAUM,FC Azeméis by Noxae,222,4,NULL
24,23/10,5,0,Benfica,Viseu 2001/Palácio do Gelo,Benfica,215,4,NULL
25,23/10,4,7,Modicus Cartest,Modicus Cartest,Quinta dos Lombos,213,4,NULL
26,23/10,4,4,empate,Leões Porto Salvo,CR Candoso/Natcal,214,4,NULL
27,24/10,2,4,Eléctrico,Eléctrico,Torreense,219,4,NULL
28,24/10,0,7,Portimonense,Portimonense,Nun´Álvares,211,4,NULL
29,30/10,1,1,empate,CR Candoso/Natcal,Eléctrico,219,5,NULL
30,30/10,5,4,SC Braga/AAUM,Torreense,SC Braga/AAUM,223,5,NULL
31,30/10,2,1,AD Fundão/Hotel Alambique,Nun´Álvares,AD Fundão/Hotel Alambique,223,5,NULL
32,30/10,2,2,empate,Modicus Cartest,Portimonense,218,5,NULL
33,01/11,3,3,empate,FC Azeméis by Noxae,Viseu 2001/Palácio do Gelo,215,5,NULL
34,03/11,3,2,Benfica,Quinta dos Lombos,Benfica,213,5,NULL
35,09/03,2,4,Sporting,Sporting,Leões Porto Salvo,222,5,NULL
36,06/11,1,5,Benfica,Benfica,FC Azeméis by Noxae,211,6,NULL
37,06/11,2,3,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Modicus Cartest,220,6,NULL
38,06/11,1,1,empate,Portimonense,Quinta dos Lombos,213,6,NULL
39,06/11,3,1,CR Candoso/Natcal,SC Braga/AAUM,CR Candoso/Natcal,223,6,NULL
40,06/11,4,1,Sporting,Eléctrico,Sporting,215,6,NULL
41,06/11,3,5,Viseu 2001/Palácio do Gelo,Viseu 2001/Palácio do Gelo,Torreense,220,6,NULL
42,06/11,2,6,Leões Porto Salvo,Leões Porto Salvo,Nun´Álvares,216,6,NULL
43,10/11,6,4,AD Fundão/Hotel Alambique,Portimonense,AD Fundão/Hotel Alambique,213,7,NULL
44,10/11,6,2,FC Azeméis by Noxae,Quinta dos Lombos,FC Azeméis by Noxae,211,7,NULL
45,10/11,5,4,Leões Porto Salvo,Modicus Cartest,Leões Porto Salvo,216,7,NULL
46,10/11,0,2,CR Candoso/Natcal,CR Candoso/Natcal,Viseu 2001/Palácio do Gelo,223,7,NULL
47,10/11,5,2,Eléctrico,Nun´Álvares,Eléctrico,209,7,NULL
48,10/11,1,2,Sporting,Sporting,SC Braga/AAUM,213,7,NULL
49,10/11,3,0,Benfica,Torreense,Benfica,221,7,NULL
50,13/11,5,4,Quinta dos Lombos,AD Fundão/Hotel Alambique,Quinta dos Lombos,219,8,NULL
51,13/11,2,3,Eléctrico,Eléctrico,Modicus Cartest,220,8,NULL
52,13/11,1,3,FC Azeméis by Noxae,FC Azeméis by Noxae,Torreense,220,8,NULL
53,13/11,6,3,Sporting,Viseu 2001/Palácio do Gelo,Sporting,223,8,NULL
54,13/11,1,9,SC Braga/AAUM,SC Braga/AAUM,Nun´Álvares,217,8,NULL
55,13/11,1,5,Benfica,Benfica,CR Candoso/Natcal,222,8,NULL
56,13/11,1,4,Leões Porto Salvo,Leões Porto Salvo,Portimonense,215,8,NULL
57,20/11,2,3,Nun´Álvares,Nun´Álvares,Viseu 2001/Palácio do Gelo,217,9,NULL
58,20/11,4,5,CR Candoso/Natcal,CR Candoso/Natcal,FC Azeméis by Noxae,219,9,NULL
59,20/11,5,3,Eléctrico,Portimonense,Eléctrico,216,9,NULL
60,20/11,3,3,empate,AD Fundão/Hotel Alambique,Leões Porto Salvo,218,9,NULL
61,20/11,1,7,Quinta dos Lombos,Quinta dos Lombos,Torreense,215,9,NULL
62,21/11,4,0,SC Braga/AAUM,Modicus Cartest,SC Braga/AAUM,215,9,NULL
63,21/11,2,5,Sporting,Sporting,Benfica,210,9,NULL
64,27/11,8,1,Sporting,FC Azeméis by Noxae,Sporting,222,10,NULL
65,27/11,6,6,empate,SC Braga/AAUM,Portimonense,213,10,NULL
66,27/11,2,3,Eléctrico,Eléctrico,AD Fundão/Hotel Alambique,224,10,NULL
67,27/11,1,7,Benfica,Benfica,Nun´Álvares,212,10,NULL
68,27/11,2,2,empate,Torreense,CR Candoso/Natcal,221,10,NULL
69,28/11,3,4,Viseu 2001/Palácio do Gelo,Viseu 2001/Palácio do Gelo,Modicus Cartest,214,10,NULL
70,29/11,5,3,Quinta dos Lombos,Leões Porto Salvo,Quinta dos Lombos,219,10,NULL
71,24/11,2,9,Sporting,Sporting,Torreense,222,11,NULL
72,04/12,3,3,empate,Quinta dos Lombos,CR Candoso/Natcal,214,11,NULL
73,04/12,5,2,FC Azeméis by Noxae,Nun´Álvares,FC Azeméis by Noxae,217,11,NULL
74,04/12,7,3,Viseu 2001/Palácio do Gelo,Portimonense,Viseu 2001/Palácio do Gelo,219,11,NULL
75,04/12,5,7,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,SC Braga/AAUM,213,11,NULL
76,22/12,2,5,Leões Porto Salvo,Leões Porto Salvo,Eléctrico,212,11,NULL
77,22/12,2,1,Benfica,Modicus Cartest,Benfica,216,11,NULL
78,08/12,3,6,Quinta dos Lombos,Quinta dos Lombos,Eléctrico,209,12,NULL
79,08/12,3,2,Sporting,CR Candoso/Natcal,Sporting,212,12,NULL
80,08/12,2,4,Viseu 2001/Palácio do Gelo,Viseu 2001/Palácio do Gelo,AD Fundão/Hotel Alambique,212,12,NULL
81,08/12,5,5,empate,Benfica,Portimonense,209,12,NULL
82,08/12,3,6,SC Braga/AAUM,SC Braga/AAUM,Leões Porto Salvo,212,12,NULL
83,08/12,0,1,Torreense,Torreense,Nun´Álvares,217,12,NULL
84,08/12,1,3,FC Azeméis by Noxae,FC Azeméis by Noxae,Modicus Cartest,219,12,NULL
85,12/12,3,1,Benfica,AD Fundão/Hotel Alambique,Benfica,213,13,NULL
86,12/12,1,2,Sporting,Sporting,Quinta dos Lombos,222,13,NULL
87,12/12,2,2,empate,Nun´Álvares,CR Candoso/Natcal,210,13,NULL
88,12/12,4,4,empate,Leões Porto Salvo,Viseu 2001/Palácio do Gelo,214,13,NULL
89,12/12,4,3,SC Braga/AAUM,Eléctrico,SC Braga/AAUM,220,13,NULL
90,12/12,2,4,Modicus Cartest,Modicus Cartest,Torreense,217,13,NULL
91,12/12,2,6,Portimonense,Portimonense,FC Azeméis by Noxae,217,13,NULL
92,18/12,1,4,Eléctrico,Eléctrico,Viseu 2001/Palácio do Gelo,217,14,NULL
93,22/12,1,2,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,FC Azeméis by Noxae,212,14,NULL
94,23/12,5,1,Sporting,Nun´Álvares,Sporting,219,14,NULL
95,26/12,2,3,Portimonense,Portimonense,Torreense,223,14,NULL
96,27/12,3,1,CR Candoso/Natcal,Modicus Cartest,CR Candoso/Natcal,220,14,NULL
97,15/02,3,3,empate,Leões Porto Salvo,Benfica,210,14,NULL
98,16/02,3,2,Quinta dos Lombos,SC Braga/AAUM,Quinta dos Lombos,213,14,NULL
99,02/01,3,3,empate,CR Candoso/Natcal,Portimonense,212,15,NULL
100,02/01,4,3,Leões Porto Salvo,FC Azeméis by Noxae,Leões Porto Salvo,222,15,NULL
101,02/01,0,6,Sporting,Sporting,Modicus Cartest,219,15,NULL
102,02/01,3,5,Benfica,Benfica,Eléctrico,216,15,NULL
103,05/02,5,2,Nun´Álvares,Quinta dos Lombos,Nun´Álvares,218,15,NULL
104,05/02,7,4,AD Fundão/Hotel Alambique,Torreense,AD Fundão/Hotel Alambique,218,15,NULL
105,23/03,4,2,SC Braga/AAUM,Viseu 2001/Palácio do Gelo,SC Braga/AAUM,217,15,NULL
106,19/02,2,1,Sporting,Portimonense,Sporting,212,16,NULL
107,19/02,1,3,Viseu 2001/Palácio do Gelo,Viseu 2001/Palácio do Gelo,Quinta dos Lombos,219,16,NULL
108,19/02,1,8,Eléctrico,Eléctrico,FC Azeméis by Noxae,216,16,NULL
109,19/02,4,6,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,CR Candoso/Natcal,217,16,NULL
110,19/02,5,2,Benfica,SC Braga/AAUM,Benfica,217,16,NULL
111,19/02,0,1,Modicus Cartest,Modicus Cartest,Nun´Álvares,223,16,NULL
112,19/02,4,2,Torreense,Leões Porto Salvo,Torreense,213,16,NULL
113,05/03,2,4,Nun´Álvares,Nun´Álvares,Portimonense,220,17,NULL
114,05/03,2,2,empate,CR Candoso/Natcal,Leões Porto Salvo,212,17,NULL
115,05/03,6,3,Modicus Cartest,Quinta dos Lombos,Modicus Cartest,211,17,NULL
116,05/03,3,6,Sporting,Sporting,AD Fundão/Hotel Alambique,213,17,NULL
117,05/03,1,6,Benfica,Benfica,Viseu 2001/Palácio do Gelo,216,17,NULL
118,06/03,3,1,Eléctrico,Torreense,Eléctrico,210,17,NULL
119,30/03,3,2,SC Braga/AAUM,FC Azeméis by Noxae,SC Braga/AAUM,223,17,NULL
120,03/11,5,1,Sporting,Leões Porto Salvo,Sporting,219,18,NULL
121,09/03,0,2,Portimonense,Portimonense,Modicus Cartest,219,18,NULL
122,09/03,2,3,SC Braga/AAUM,SC Braga/AAUM,Torreense,218,18,NULL
123,09/03,2,4,Benfica,Benfica,Quinta dos Lombos,221,18,NULL
124,09/03,1,6,Eléctrico,Eléctrico,CR Candoso/Natcal,217,18,NULL
125,09/03,1,1,empate,AD Fundão/Hotel Alambique,Nun´Álvares,211,18,NULL
126,09/03,5,1,FC Azeméis by Noxae,Viseu 2001/Palácio do Gelo,FC Azeméis by Noxae,217,18,NULL
127,12/03,2,3,Quinta dos Lombos,Quinta dos Lombos,Portimonense,213,19,NULL
128,13/03,5,1,Benfica,FC Azeméis by Noxae,Benfica,223,19,NULL
129,13/03,1,5,Nun´Álvares,Nun´Álvares,Leões Porto Salvo,222,19,NULL
130,13/03,5,3,Viseu 2001/Palácio do Gelo,Torreense,Viseu 2001/Palácio do Gelo,220,19,NULL
131,13/03,6,1,SC Braga/AAUM,CR Candoso/Natcal,SC Braga/AAUM,222,19,NULL
132,13/03,0,5,Sporting,Sporting,Eléctrico,221,19,NULL
133,23/03,5,1,AD Fundão/Hotel Alambique,Modicus Cartest,AD Fundão/Hotel Alambique,214,19,NULL
134,26/03,2,6,Eléctrico,Eléctrico,Nun´Álvares,220,20,NULL
135,26/03,8,1,Sporting,SC Braga/AAUM,Sporting,215,20,NULL
136,26/03,3,0,Quinta dos Lombos,FC Azeméis by Noxae,Quinta dos Lombos,211,20,NULL
137,26/03,4,3,Portimonense,AD Fundão/Hotel Alambique,Portimonense,214,20,NULL
138,26/03,1,1,empate,Leões Porto Salvo,Modicus Cartest,217,20,NULL
139,26/03,1,2,Benfica,Benfica,Torreense,222,20,NULL
140,27/03,2,2,empate,Viseu 2001/Palácio do Gelo,CR Candoso/Natcal,219,20,NULL
141,02/04,6,3,Benfica,CR Candoso/Natcal,Benfica,221,21,NULL
142,02/04,6,0,Eléctrico,Modicus Cartest,Eléctrico,220,21,NULL
143,02/04,4,1,Leões Porto Salvo,Portimonense,Leões Porto Salvo,224,21,NULL
144,02/04,1,8,Sporting,Sporting,Viseu 2001/Palácio do Gelo,222,21,NULL
